"FLATz Deliverydate","配送日指定"
"FLATz Deliverydate Setting","配送日指定"
"Default Selected Date Message","デフォルトの日付メッセージ"
"date settings","日付設定"
"modulename: {timeslot}, latency, during","モジュール名: {timeslot}, 待ち時間, 間"
"Shippable Days","配送できる曜日"
"Sunday","日曜日"
"Monday","月曜日"
"Tuesday","火曜日"
"Wednesday","水曜日"
"Thursday","木曜日"
"Friday","金曜日"
"Saturday","土曜日"
"Unshippable Date","配送できない日付"
" (Shipping Date: %s, Timeslot: %s)", " (配送希望日: %s, 希望時間帯: %s)"
"Shipping Date: %s <br /> Timeslot: %s", "配送希望日: %s <br /> 希望時間帯: %s"
"not specified", "希望なし"
"Shipping Date: ", "希望配送日"
"Timeslot: ", "希望配送時間帯"
